,Bath,Bed,Half-bath,Price,Square_Feet,Zip_code
6990,3,4,0,849900,2251,90630
6991,3,6,1,798788,3336,92590
6992,3,4,0,768000,3124,94505
6993,3,4,1,950000,3916,91311
6994,4,5,1,869800,3314,91709
6995,2,2,0,795000,1608,91387
6996,2,3,0,749900,1820,92691
6997,2,3,1,689000,1176,91335
6998,2,5,2,599888,2250,94603
6999,1,3,0,569000,1470,90044
7000,3,3,0,549900,3202,95247
7001,3,6,0,515000,3580,92562
7002,4,6,1,495000,4063,92563
7003,3,4,1,429900,1980,92315
7004,2,2,0,409500,1290,92883
7005,3,4,0,350000,2350,93308
7006,3,5,0,349000,2713,92583
7007,3,4,0,345000,1691,95255
7008,2,4,0,339900,2071,92345
7009,2,2,1,319900,2127,92223
7010,2,2,1,319900,2127,92223
7011,2,3,1,318000,1932,95223
7012,1,3,1,305000,1094,92352
7013,2,4,0,899950,1762,95116
7014,4,5,1,814950,3631,93021
7015,3,4,0,475000,1730,91761
7016,2,3,0,459000,1041,90220
7017,4,6,0,450000,3165,93551
7018,3,4,1,385000,2699,92399
7019,1,1,0,159000,648,92345
7020,6,8,0,4350000,5000,92037
7021,4,5,0,3600000,6360,94611
7022,2,4,1,2695000,2475,93023
7023,2,3,2,1600000,4476,95618
7024,3,5,0,924900,3870,92562
7025,2,4,1,799000,2831,96150
7026,4,4,1,724950,3656,95762
7027,3,3,0,695000,3668,95228
7028,1,2,0,675000,843,91403
7029,4,4,0,525000,3500,92307
7030,2,3,0,475000,2551,95642
7031,3,3,0,459500,2700,92352
7032,2,2,0,2500000,1380,92322
7033,3,4,0,595000,1675,91977
7034,4,5,0,540000,3753,95757
7035,2,4,0,255000,1901,93555
7036,2,5,0,1375000,2506,94566
7037,2,5,0,1375000,2506,94566
7038,2,5,0,1375000,2506,94566
7039,3,4,2,1795000,3444,92116
7040,4,4,0,1398000,4116,93401
7041,3,4,0,1249900,2388,91208
7042,2,3,0,1199000,1927,92629
7043,3,3,0,995000,3258,90602
7044,2,4,1,949900,3450,92028
7045,3,4,0,675000,3781,93536
7046,3,4,0,458000,2242,95973
7047,3,4,0,448000,2242,95973
7048,2,3,0,389000,1766,95973
7049,2,3,0,380000,1739,95973
7050,2,3,0,371000,1648,95973
7051,2,3,0,365000,1739,95973
7052,3,4,0,555500,2200,95682
7053,2,3,0,507000,1870,91767
7054,3,3,0,460000,2299,92344
7055,2,3,0,404500,1081,93033
7056,2,3,0,365000,2643,93311
7057,1,3,1,359000,1397,92352
7058,2,3,0,340000,1742,95993
7059,3,5,0,330000,2602,92344
7060,3,4,0,325000,2194,92284
7061,2,3,0,270000,1899,92307
7062,1,3,0,210000,1008,92345
7063,2,3,0,199900,1440,93555
7064,2,3,0,279900,2096,93313
7065,5,5,0,7400000,4154,90266
7066,3,5,0,6300000,2804,90266
7067,4,5,2,4995000,5128,90266
7068,5,5,2,4495000,5337,92663
7069,4,4,1,3099000,3764,92651
7070,3,3,0,2995000,2504,90210
7071,3,4,0,2249000,1920,92651
7072,4,5,0,835000,3208,91325
7073,3,4,1,799900,3610,92028
7074,5,8,2,775000,6793,92352
7075,3,4,0,749000,3138,91901
7076,2,3,1,720000,3202,93510
7077,4,4,1,700000,3441,92253
7078,3,4,0,699999,2554,94513
7079,5,4,0,660000,3414,92352
7080,2,3,1,649000,3409,92086
7081,3,5,0,640000,2030,93065
7082,3,4,0,599000,1687,91702
7083,3,3,0,589000,2331,92203
7084,3,4,1,575000,2511,93060
7085,2,4,0,549900,1722,91387
7086,2,4,0,499900,1222,91342
7087,3,3,0,475000,2850,93561
7088,4,4,0,428000,3097,95334
7089,2,4,0,389900,2185,92544
7090,5,6,1,1599000,5561,93021
7091,2,3,0,675000,1316,90016
7092,3,4,0,549000,2894,92373
7093,4,5,0,499900,2186,93060
7094,2,4,0,450000,1366,90262
7095,3,5,0,199900,2472,92225
7096,4,5,2,9850000,8350,94010
7097,5,4,0,2000000,5140,90631
7098,3,4,1,1518000,4194,92861
7099,2,3,0,857000,1808,90814
7100,2,4,1,609900,2420,95688
7101,2,3,0,590000,2366,96065
7102,2,3,0,432000,2112,95666
7103,2,3,0,349000,2118,95666
7104,3,3,1,749900,3911,92352
7105,2,5,1,739000,2641,92203
7106,3,3,1,725000,3082,92270
7107,3,5,0,635000,3675,92880
7108,2,3,0,628000,1225,92262
7109,2,4,0,499999,2626,95252
7110,2,3,0,335000,1552,93536
7111,1,2,0,298550,832,95249
7112,2,3,0,289900,1408,92004
7113,1,2,0,279000,832,95249
7114,1,1,0,217000,712,92339
7115,1,3,0,690000,1682,90043
7116,4,5,1,9495000,5530,90403
7117,6,5,0,4500000,4472,93108
7118,2,3,0,227500,1696,92308
7119,2,4,0,189900,1212,92395
7120,1,3,0,115000,1400,92243
7121,2,3,0,199000,1154,93307
7122,2,4,0,199000,2146,93701
7123,4,3,0,13995000,3381,90069
7124,7,6,0,7495000,6550,90069
7125,3,4,1,3095000,2500,92660
7126,4,5,1,1295000,3635,92677
7127,2,3,1,1250000,1751,90026
7128,4,5,0,1210000,3498,92835
7129,2,3,0,1200000,1885,92867
7130,2,3,0,1200000,1885,92867
7131,3,4,0,900000,2838,94505
7132,4,6,0,850000,2500,90201
7133,3,3,1,800000,2500,92253
7134,3,4,0,699900,3409,92313
7135,4,6,0,699000,2482,92028
7136,3,4,0,525000,3142,92203
7137,8,8,1,3680000,8092,91007
7138,2,3,1,2750000,2850,92651
7139,2,2,0,1275000,1768,95728
7140,3,3,1,875000,4314,96002
7141,8,3,0,660000,203,92587
7142,2,3,0,550000,2106,95673
7143,1,2,0,330000,690,90047
7144,2,3,0,299000,1200,95610
7145,2,3,0,162000,1269,92342
7146,2,2,0,639900,1280,94551
7147,4,4,1,6495000,5311,90077
7148,5,5,1,5600000,4569,92663
7149,6,6,0,3995000,5142,90077
7150,4,4,1,2495000,5113,94506
7151,5,4,2,2400000,5800,92861
7152,3,3,1,2375000,2968,90026
7153,7,5,0,2199000,4743,92262
7154,6,6,1,1900000,5126,92315
7155,6,6,1,1900000,5126,92315
7156,2,3,1,339900,2185,92211
7157,2,4,0,325000,1454,92509
7158,4,4,0,289900,1996,93544
7159,3,5,0,264900,2655,92240
7160,2,4,0,239000,2472,92307
7161,2,3,0,232500,1582,92253
7162,1,1,0,199000,700,93518
7163,2,4,0,175000,1548,93306
7164,2,4,0,125000,1228,93505
7165,2,3,0,97000,1209,93523
7166,1,3,0,55000,1177,93528
7167,1,2,0,49900,720,92311
7168,1,2,0,99000,845,96094
7169,4,5,0,4498000,9118,93010
7170,3,4,0,1299999,2355,93035
7171,3,3,0,325000,2260,92004
7172,2,3,0,199000,1290,93555
7173,1,2,0,425000,884,93551
7174,2,3,1,360000,2467,95969
7175,2,3,0,355000,1493,93541
7176,2,3,0,349900,2012,92240
7177,2,3,0,300000,1159,90059
7178,1,2,0,299000,966,92315
7179,3,3,0,279000,2054,92395
7180,1,2,0,279000,966,92333
7181,2,3,0,269900,1572,92325
7182,1,3,0,260000,1154,96057
7183,1,2,0,259000,792,92256
7184,3,4,0,230000,2650,93560
7185,2,3,0,209500,1444,92395
7186,2,3,0,209500,1444,92395
7187,2,3,0,170000,1520,92277
7188,2,1,0,112000,1068,93240
7189,5,5,1,1499000,4764,93021
7190,4,5,1,599900,4244,92563
7191,2,4,0,500000,1624,92860
7192,2,4,0,349900,1706,95621
7193,2,3,0,244900,1631,92308
7194,4,4,0,1450000,3021,94582
7195,4,4,2,6775000,5500,92625
7196,3,3,1,4788888,2943,90740
7197,3,3,0,2995000,3737,92660
7198,4,5,1,1950000,5044,92653
7199,4,4,0,1799000,3614,91321
7200,4,3,0,1600000,4000,92260
7201,4,5,1,1475000,5031,92808
7202,3,6,0,1188888,3098,92677
7203,4,4,1,979500,4372,92270
7204,3,5,1,929000,3625,93664
7205,3,5,0,899800,2506,92887
7206,4,4,1,899000,3409,92253
7207,3,5,0,899000,2989,92887
7208,2,5,1,750000,4032,91739
7209,3,3,1,739900,2304,92315
7210,3,3,1,739900,2304,92315
7211,10,9,0,11900000,12975,91361
7212,6,5,1,3250000,6590,91356
7213,3,4,0,2895000,2545,94920
7214,4,5,1,2699000,3600,93950
7215,4,5,1,1680000,4098,90631
7216,4,4,0,1525000,4192,92127
7217,3,4,0,469000,2300,96007
7218,3,3,0,449000,2112,92203
7219,3,3,0,440000,2819,95666
7220,3,4,0,399000,1768,95936
7221,2,3,1,334000,2028,96003
7222,4,4,0,300000,2814,92392
7223,2,2,1,274500,1619,92201
7224,2,4,0,269000,2012,93311
7225,5,5,1,23950000,7168,92625
7226,14,10,2,14250000,11081,92352
7227,5,5,1,7800000,5213,92037
7228,4,5,1,7795000,5049,90265
7229,5,5,0,5495000,6091,90210
7230,2,4,0,165000,1424,92225
7231,6,6,0,11800000,9867,91108
7232,5,6,3,7195000,5145,93921
7233,6,5,0,6395000,5375,90049
7234,6,5,0,6000000,5292,90210
7235,2,4,0,1600000,2103,91604
7236,3,4,0,769000,3015,92065
7237,4,10,0,599900,5300,92373
7238,2,3,0,350000,2000,95922
7239,3,4,0,249900,2182,92311
7240,1,2,0,159000,950,95329
7241,7,6,1,6495000,8000,92679
7242,4,4,0,5600000,2800,92014
7243,3,3,1,2795000,3217,92262
7244,4,4,2,2375000,6533,92253
7245,3,4,1,949000,3238,92673
7246,3,3,0,899999,3551,93063
7247,2,3,1,899900,2187,93405
7248,2,3,1,705000,2476,93664
7249,3,3,1,619900,2740,95467
7250,1,2,0,185000,900,95490
7251,1,2,0,180000,662,92391
7252,1,2,0,155000,2116,96129
7253,1,1,0,154900,560,93534
7254,1,1,0,154900,560,93534
7255,2,3,0,129000,1127,96137
7256,3,3,0,3800000,3132,94024
7257,4,4,0,1800000,2621,91770
7258,3,4,1,799000,3768,92883
